source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
CZBIL,KBL,0.847006262926752,0.847006262926752,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142
CZBIL,SBL,0.8466729729324711,0.8466729729324711,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
ADBL,HBL,0.8437272890631364,0.8437272890631364,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225
ADBL,MBL,0.8436713744448104,0.8436713744448104,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464
KBL,NABIL,0.8436590927118774,0.8436590927118774,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
ADBL,GBIME,0.8416963145850669,0.8416963145850669,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668
KBL,PRVU,0.8397387817644707,0.8397387817644707,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
PCBL,SBL,0.8360944721394203,0.8360944721394203,positive,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
PCBL,SCB,0.8332802934302728,0.8332802934302728,positive,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
ADBL,CZBIL,0.8315372609809485,0.8315372609809485,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146
EBL,KBL,0.8314646190776154,0.8314646190776154,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142
HBL,SBL,0.8311199284977696,0.8311199284977696,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
NABIL,PRVU,0.8307736422648998,0.8307736422648998,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
ADBL,SBL,0.8306016675162338,0.8306016675162338,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
ADBL,SANIMA,0.8252591594701878,0.8252591594701878,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
ADBL,NBL,0.8251289454686802,0.8251289454686802,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-1.0642124789207419,326.5633929173693,89173.25059021922,31678139.9947285
NBB,SBL,0.8251150166134569,0.8251150166134569,positive,-0.008458333333333241,375.4579166666667,50240.48333333333,20941272.471916664,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
SBL,SCB,0.8246417511278916,0.8246417511278916,positive,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
GBIME,SBL,0.8206423833950467,0.8206423833950467,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
SANIMA,SBL,0.8198327534548974,0.8198327534548974,positive,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
KBL,SBI,0.8191475485591896,0.8191475485591896,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
NABIL,SBL,0.8179389412040096,0.8179389412040096,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
HBL,KBL,0.8175014123632364,0.8175014123632364,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142
KBL,SANIMA,0.8156093636507133,0.8156093636507133,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
KBL,MBL,0.8136818363051803,0.8136818363051803,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464
EBL,GBIME,0.8068744069413505,0.8068744069413505,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668
