bank_code,year_month,close,high,low,per_change,traded_quantity,traded_amount
PRVU,2023-07,169.53,206.0,155.0,0.39,4893534.0,856214453.8
PRVU,2023-08,166.05,183.9,160.0,-0.5,2359287.0,396870915.3
PRVU,2023-09,160.84,170.0,157.0,0.01,1085629.0,174622347.3
PRVU,2023-10,158.61,164.5,152.3,-0.17,1240731.0,195720154.94
PRVU,2023-11,156.04,161.8,153.3,-0.03,998093.0,155721375.2
PRVU,2023-12,164.92,179.0,154.1,0.34,2187181.0,366032909.9
PRVU,2024-01,161.68,176.2,155.0,-0.26,3017527.0,493076941.4
PRVU,2024-02,150.93,156.8,141.2,-0.47,1566640.0,236735504.22
PRVU,2024-03,144.84,154.9,139.5,0.01,1160716.0,167840171.6
PRVU,2024-04,139.27,143.0,135.8,0.02,1143696.0,158967889.2
PRVU,2024-05,142.57,159.9,132.0,0.15,2143353.0,311675987.7
PRVU,2024-06,142.77,151.1,138.0,-0.23,1072731.0,152915866.9
PRVU,2024-07,178.64,240.0,137.0,2.25,11659238.0,2319629917.07
PRVU,2024-08,250.84,297.0,217.0,0.64,14800526.0,3763233360.4
PRVU,2024-09,237.07,267.0,222.1,-0.35,6179043.0,1486006637.4
PRVU,2024-10,249.99,273.0,229.0,0.41,5625703.0,1421992309.43
PRVU,2024-11,242.01,257.0,232.0,-0.23,2236360.0,545112392.75
PRVU,2024-12,228.27,250.0,213.2,0.03,7063493.0,1668721185.85
PRVU,2025-01,222.55,242.7,215.1,-0.46,3543875.0,793553688.3
PRVU,2025-02,221.15,241.0,213.0,0.35,2920698.0,652757158.3
PRVU,2025-03,218.12,241.0,203.0,-0.35,2996695.0,659332481.8
PRVU,2025-04,207.21,220.0,197.0,-0.41,3138133.0,651645608.1
PRVU,2025-05,204.47,229.0,194.1,0.59,3390964.0,705657746.6
PRVU,2025-06,205.7,227.0,198.6,-0.29,3009422.0,623930265.3
PRVU,2025-07,222.88,250.9,204.1,0.65,10563548.0,2426430628.1
PRVU,2025-08,218.87,241.0,207.5,-0.62,4107440.0,916229485.6
PRVU,2025-09,206.08,216.7,186.0,-0.0,996703.0,205921983.9
PRVU,2025-10,201.56,215.0,196.0,-0.18,2059979.0,416499478.5
PRVU,2025-11,192.97,207.0,184.2,-0.2,2330637.0,449831239.0
PRVU,2025-12,184.81,193.0,180.0,-0.2,1930238.0,357466772.7
PRVU,2026-01,186.89,199.8,179.9,0.0,2467503.0,464002288.9
PRVU,2026-02,185.08,190.7,180.1,-0.27,541219.0,100340114.1
SANIMA,2012-04,222.67,298.0,148.0,4.48,222315.0,51477805.0
SANIMA,2012-05,257.47,307.0,217.0,-0.6,271883.0,71485065.0
SANIMA,2012-06,224.53,253.0,206.0,0.15,103829.0,23464283.0
SANIMA,2012-07,228.35,248.0,215.0,0.05,175389.0,39150269.0
SANIMA,2012-08,200.16,234.0,177.0,-1.06,83652.0,16224395.0
SANIMA,2012-09,196.35,206.0,185.0,-0.01,49670.0,9758919.0
SANIMA,2012-10,190.69,215.0,178.0,0.9,35191.0,6779322.0
SANIMA,2012-11,225.82,250.0,208.0,0.43,172821.0,39512505.0
SANIMA,2012-12,262.25,302.0,224.0,1.08,189653.0,50651894.0
SANIMA,2013-01,266.67,286.0,245.0,-0.41,315495.0,84405035.0
SANIMA,2013-02,277.83,312.0,255.0,0.64,197563.0,55251475.0
SANIMA,2013-03,279.17,303.0,261.0,-0.4,161549.0,44808061.0
SANIMA,2013-04,270.89,285.0,250.0,-0.13,104367.0,27889995.0
SANIMA,2013-05,251.55,264.0,240.0,-0.18,79577.0,19980248.0
SANIMA,2013-06,247.38,255.0,239.0,-0.01,72435.0,17823556.0
SANIMA,2013-07,254.83,272.0,241.0,0.23,108229.0,27394653.0
SANIMA,2013-08,252.06,265.0,240.0,-0.11,140798.0,35185232.0
SANIMA,2013-09,255.19,268.0,231.0,-0.38,158544.0,40651971.0
SANIMA,2013-10,255.21,284.0,230.0,0.74,52916.0,13858759.0
SANIMA,2013-11,302.54,355.0,260.0,1.77,238637.0,73017708.0
SANIMA,2013-12,440.4,550.0,322.0,2.28,858892.0,383081337.0
SANIMA,2014-01,511.65,545.0,475.0,0.02,361237.0,182859714.0
SANIMA,2014-02,499.18,538.0,484.0,-0.1,189558.0,95427359.0
SANIMA,2014-03,465.11,506.0,430.0,-0.36,182926.0,84205607.0
SANIMA,2014-04,461.11,479.0,446.0,-0.1,219147.0,101324079.0
SANIMA,2014-05,478.47,513.0,452.0,0.4,301635.0,144817310.0
SANIMA,2014-06,540.64,581.0,485.0,0.63,457745.0,247984321.0
SANIMA,2014-07,615.73,675.0,559.0,0.52,393327.0,240733216.0
SANIMA,2014-08,588.61,626.0,529.0,-0.51,222817.0,129751994.0
SANIMA,2014-09,545.42,587.0,475.0,-0.53,309531.0,171519460.0
SANIMA,2014-10,490.07,520.0,471.0,0.29,36761.0,18159996.0
